price_min,price_max,threshold,hold_period,total_trades,wins,losses,win_rate,games_traded,trades_per_game,total_gross_pl_dollars,total_fees_dollars,total_net_pl_dollars,mean_net_pl_pct,median_net_pl_pct,std_net_pl_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,max_drawdown_pct,win_loss_ratio,t_statistic,p_value,win_rate_p_value,win_rate_ci_low,win_rate_ci_high,is_significant,mc_prob_profitable,mc_mean_ci_low,mc_mean_ci_high,mc_sharpe_ci_low,mc_sharpe_ci_high
1,15,25,7,3155,1406,1749,0.44564183835182253,274,11.514598540145986,1009.0,2119.3011,-1110.3011000000001,3.7062031577508576,-13.440000000000001,149.94135916064045,80.24585134771976,-57.82309664504863,0.392381071583552,-3921.310051476302,1.3877819764706631,1.388377159227114,0.1651202741670382,1.097444112172364e-09,0.4283748713597358,0.4630410149797915,False,0.923,-1.1363297094328044,9.173543284209403,-0.13076686148422684,0.9362167543090553
1,10,18,5,3977,1721,2256,0.43273824490822227,267,14.895131086142323,1717.0,2373.2499000000007,-656.2499000000003,1.952019612773445,-13.440000000000001,115.14666470255213,64.80273188576224,-45.99393598200214,0.26911201273924534,-6152.672757936469,1.4089407766954356,1.0690809958402991,0.2850980733931951,2.2463790401581616e-17,0.4174120783961139,0.4481942248103214,False,0.859,-1.388343936913046,5.727648302117132,-0.21720828108470658,0.7304917912590121
1,20,25,7,3493,1577,1916,0.45147437732608076,290,12.044827586206896,1280.0,2773.3258000000005,-1493.3258000000003,2.7478430177304234,-13.440000000000001,145.70864974952983,77.44021929489874,-58.729128479709274,0.29936901944766287,-4932.076722435779,1.318599837926321,1.114566222207876,0.26511305458358225,1.0447129288725215e-08,0.43503363160589154,0.46802173879276315,False,0.858,-2.1312643349326157,7.194197749852636,-0.25298294195238996,0.7744954215468534
1,15,20,7,4063,1811,2252,0.4457297563376815,280,14.510714285714286,1235.0,2993.4093000000003,-1758.4093000000003,1.4714435658005653,-13.440000000000001,138.5568308085386,72.98320447075471,-56.03646007490635,0.16858383902070992,-5720.670187895406,1.3024235359120637,0.6769227034221882,0.49849354467834095,4.863789631755543e-12,0.43050470725254103,0.461057330642125,False,0.732,-2.679370887323634,5.580942542731728,-0.3213731491059678,0.6185131302791053
1,10,10,5,5389,2325,3064,0.43143440341436257,267,20.183520599250937,1974.0,3756.1930000000007,-1782.1930000000007,-1.3574002237067302,-13.020000000000001,103.81280451627435,55.18045443591056,-44.25900338415393,-0.2075665003895612,-14507.039960317388,1.2467622453438896,-0.9598670519724887,0.33716520112946824,7.588732040797359e-24,0.41826450918872804,0.44470197969418357,False,0.171,-3.9169018079524154,1.616828372555645,-0.6542454200023656,0.2271702772549277
1,10,20,3,3533,1500,2033,0.42456835550523636,271,13.03690036900369,1551.0,2014.0729000000001,-463.07290000000023,3.2816949083246825,-13.300000000000004,102.1932095650975,59.356706555555554,-38.09189951904685,0.5097725363454721,-4163.151638888878,1.558250108422023,1.9087453091626922,0.0563759270833806,3.0419040972291396e-19,0.4083604569664712,0.4409401107276994,False,0.97,-0.1365536731901955,6.678768996232795,-0.022054173501206736,0.982380736779101
1,10,18,3,4055,1747,2308,0.430826140567201,273,14.853479853479854,1731.0,2411.1213000000007,-680.1213000000004,1.8985870119194386,-13.300000000000004,96.79064319337184,54.51175712332252,-37.926026586269984,0.311384793626418,-5344.6320555555385,1.437317906196293,1.2490866277936044,0.2117055084391449,1.273804210746228e-18,0.4156572377158627,0.4461259815372982,False,0.894,-0.9252627787074577,4.953536789946762,-0.1675932561981348,0.7670746077095467
1,5,10,5,2839,1154,1685,0.40648115533638607,250,11.356,907.0,1194.5885000000003,-287.5885000000001,3.987111835153221,-13.58,120.04626534195714,72.13226328711725,-42.68321740850644,0.5272420429824494,-4548.318000000007,1.6899443778280372,1.7696706984397699,0.0768893763315349,1.9416316880719282e-23,0.38855159455073707,0.4246634553591244,False,0.972,-0.05457200158506691,8.340178162792057,-0.008384661267590491,1.0404171239679518
1,20,15,15,5707,2644,3063,0.4632906956369371,279,20.455197132616487,2736.0,5616.317000000001,-2880.3170000000005,2.618501618488748,-12.740000000000002,260.5773307572099,88.1460133358847,-71.20936027533917,0.15952049405087407,-16270.244033837233,1.2378430728075358,0.7591369871436796,0.44780197355300855,3.1025995139941104e-08,0.45038251050627964,0.4762482665829997,False,0.766,-3.8910711542209393,9.21741245071329,-0.29724603756079776,0.4833892237942515
1,15,10,15,6267,2904,3363,0.4633796074676879,262,23.919847328244273,2977.0,5747.206500000001,-2770.206500000001,1.5763277829823998,-12.600000000000005,250.04518287951538,82.22367460855452,-68.06384324926898,0.10007562434432866,-22173.781650016623,1.2080374936723488,0.49906588693442455,0.6177504887949368,7.1257963679553416e-09,0.45105997254910296,0.4757441090061146,False,0.671,-4.162048644932537,7.582269268483824,-0.3114888979665529,0.4269246167683738
