price_min,price_max,threshold,hold,win_rate,gross_pl,fee,net_pl,trades,avg_win,avg_loss,price_range_label
15,25,15,3,0.5555555555555556,2.3777777777777778,2.24,0.13777777777777755,45,7.76,4.35,15-25
5,15,15,7,0.6896551724137931,1.3793103448275863,1.2600000000000002,0.11931034482758607,29,3.3,2.888888888888889,5-15
95,99,18,3,0.8518518518518519,0.5185185185185186,0.4074000000000004,0.11111851851851823,27,1.3043478260869565,4.0,95-99
1,10,8,5,0.6875,0.8333333333333335,0.7276500000000001,0.10568333333333335,96,2.757575757575758,3.4,1-10
95,99,12,18,0.75,0.5,0.4074000000000004,0.09259999999999963,4,1.0,1.0,95-99
1,10,8,3,0.6875,0.8125,0.7276500000000001,0.08484999999999987,112,2.8051948051948052,3.5714285714285716,1-10
1,15,15,20,0.8888888888888888,1.111111111111111,1.0304000000000002,0.08071111111111073,9,1.375,1.0,1-15
80,95,20,15,0.8695652173913043,1.6086956521739126,1.5312500000000002,0.07744565217391242,23,2.85,6.666666666666667,80-95
85,95,15,18,0.9444444444444444,1.333333333333333,1.26,0.07333333333333303,18,1.7058823529411764,5.0,85-95
80,95,30,10,1.0,1.6,1.5312500000000002,0.06874999999999987,5,1.6,0.0,80-95
1,15,15,7,0.7804878048780488,1.0975609756097562,1.0304000000000002,0.06716097560975598,41,2.21875,2.888888888888889,1-15
1,25,25,5,0.75,1.6428571428571432,1.5834000000000001,0.0594571428571431,28,3.1904761904761907,3.0,1-25
85,95,20,2,0.4375,1.3125,1.26,0.05249999999999999,32,9.0,4.666666666666667,85-95
85,95,18,20,0.8,1.3000000000000003,1.26,0.04000000000000026,10,2.0,1.5,85-95
1,25,20,7,0.8409090909090909,1.6136363636363638,1.5834000000000001,0.030236363636363617,44,2.8378378378378377,4.857142857142857,1-25
5,10,25,15,1.0,1.0,0.9712500000000001,0.028749999999999942,2,1.0,0.0,5-10
15,25,20,2,0.5263157894736842,2.2631578947368416,2.24,0.023157894736841378,19,10.0,6.333333333333333,15-25
95,99,15,3,0.8275862068965517,0.4137931034482759,0.4074000000000004,0.006393103448275539,29,1.25,3.6,95-99
